Name	Length	EffectiveLength	TPM	NumReads
FBtr0303313	423	252.478	0	0
FBgn0013687	4608	4437.02	0	0
FBtr0445213	1085	914.017	2.7467	21
FBtr0304150	610	439.383	0	0
FBtr0346750	640	469.358	0	0
FBtr0302916	1329	1158.02	0	0
FBtr0077575	715	544.334	0.469127	2.136
FBtr0343565	391	220.514	0.005056	0.009
FBtr0307111	548	377.401	0	0
FBtr0091871	526	355.413	0.819883	2.437
FBtr0340134	526	355.413	0.079457	0.236
FBtr0345518	731	560.327	0.804376	3.77
FBtr0346892	1975	1804.02	4222.17	63713.3
FBtr0345859	999	828.017	5.19332	35.97
FBtr0334478	392	221.513	0	0
FBtr0346744	780	609.306	0	0
FBtr0347452	760	589.315	0.000275	0.001
FBtr0347446	582	411.39	0.000228	0.001
FBtr0084817	1248	1077.02	0	0
FBtr0344334	427	256.474	0.00704	0.015
FBtr0306709	777	606.308	0.197176	1
FBtr0333937	1641	1470.02	1.9518	24
FBtr0347451	775	604.309	0.000552	0.003
FBtr0306722	1265	1094.02	31.5806	289
FBtr0088081	1226	1055.02	0	0
FBtr0070932	471	300.453	0.461827	1.161
FBtr0301172	759	588.315	0.24211	1.191
FBtr0333553	829	658.279	0.38025	2.094
FBtr0329828	1288	1117.02	0	0
FBtr0305348	1532	1361.02	0.35847	4.081
FBtr0114243	1041	870.017	0.151264	1.101
FBtr0112457	1130	959.017	0.102324	0.821
FBtr0307112	1182	1011.02	16.1077	136.222
FBtr0347527	1290	1119.02	0.106834	1
FBtr0336866	1058	887.017	1.53722	11.406
FBtr0347430	766	595.312	0	0
FBtr0347098	1131	960.017	2.49056	20
FBtr0305617	1348	1177.02	0.324357	3.193
FBtr0347195	590	419.388	0.285056	1
FBtr0307582	220	49.648	0	0
FBtr0347444	414	243.488	0.000466	0.001
FBtr0302397	1494	1323.02	13.0638	144.574
FBtr0334740	1497	1326.02	28.0352	310.961
FBtr0070095	1861	1690.02	0.429491	6.072
FBtr0091606	534	363.405	0	0
FBtr0114241	789	618.303	0	0
FBtr0075835	53	16.243	0	0
FBtr0302913	394	223.511	4.30322	8.045
FBtr0305350	501	330.435	2.67701	7.399
FBtr0346749	659	488.35	0	0
FBtr0081172	421	250.48	0	0
FBtr0346896	1258	1087.02	11.7978	107.273
FBtr0347434	766	595.312	0.000276	0.001
FBtr0346897	123	47.945	4051.21	1624.73
FBtr0345338	1272	1101.02	1.23185	11.345
FBtr0345654	506	335.431	0.356405	1
FBtr0100604	1209	1038.02	0	0
FBtr0072914	1021	850.017	3.37544	24
FBtr0088762	456	285.458	0	0
FBtr0346872	1721	1550.02	5981.46	77552.8
FBtr0306724	802	631.3	0	0
FBtr0306845	361	190.534	0	0
FBtr0347036	330	159.548	0.00078	0.001
FBtr0113190	1074	903.017	2.91255	22
FBtr0334467	333	162.547	32.2996	43.917
FBtr0333684	4305	4134.02	0.35754	12.364
FBtr0070923	1347	1176.02	0.19203	1.889
FBtr0339505	1709	1538.02	0	0
FBtr0307583	352	181.539	1.4747	2.239
FBtr0347449	527	356.411	0	0
FBtr0347433	775	604.309	0.000552	0.003
FBtr0347030	1916	1745.02	0.969603	14.153
FBtr0343809	881	710.245	11.6833	69.411
FBtr0302440	184	20.08	0	0
FBtr0303010	810	639.295	0.564111	3.017
FBtr0302346	1400	1229.02	3.29659	33.89
FBtr0302915	1307	1136.02	0.4433	4.212
FBtr0085895	825	654.284	27.6325	151.231
FBtr0091815	333	162.547	0.000472	0.001
FBtr0339151	1366	1195.02	0	0
FBtr0343422	638	467.359	0	0
FBtr0310392	2132	1961.02	3.47488	57
FBtr0347424	274	103.581	2.72344	2.36
FBtr0309507	467	296.454	0.023467	0.058
FBtr0321274	675	504.349	0	0
FBtr0080132	1873	1702.02	0	0
FBtr0078629	1897	1726.02	76.6049	1106
FBtr0080936	774	603.309	144.751	730.489
FBtr0073031	1144	973.017	8.21207	66.838
FBtr0337016	1111	940.017	0.999451	7.859
FBtr0073792	737	566.321	934.821	4428.38
FBtr0079085	4065	3894.02	1.48285	48.3
FBtr0088102	1945	1774.02	0.227613	3.378
FBtr0333529	9439	9268.02	0.003224	0.25
FBtr0300490	2762	2591.02	0.414416	8.982
FBtr0085634	1187	1016.02	265.112	2253.12
FBtr0306588	1246	1075.02	0.373587	3.359
FBtr0306587	981	810.185	1.48035	10.032
FBtr0344763	1526	1355.02	0.953286	10.805
FBtr0074437	1875	1704.02	0	0
FBtr0078061	2629	2458.02	32.8099	674.595
FBtr0070859	1746	1575.02	6.70356	88.317
FBtr0302875	494	323.441	0	0
FBtr0079860	5802	5631.02	0.055474	2.613
FBtr0332167	3281	3110.02	3.94392	102.599
FBtr0331397	2214	2043.02	3.68471	62.969
FBtr0342992	3849	3678.02	0.07137	2.196
FBtr0114460	3475	3304.02	0.150585	4.162
FBtr0331398	1855	1684.02	6.01896	84.786
FBtr0310465	1693	1522.02	6.55713	83.481
FBtr0080120	725	554.332	0	0
FBtr0086579	3608	3437.02	20.7653	597
FBtr0087153	1899	1728.02	0.019765	0.286
FBtr0082474	701	530.342	10.5968	47.009
FBtr0086810	838	667.276	0	0
FBtr0080281	1886	1715.02	0.034953	0.501
FBtr0086760	549	378.401	0	0
FBtr0304008	3024	2853.02	2.19661	52.422
FBtr0304636	531	360.407	0	0
FBtr0336648	6435	6264.02	0.188222	9.862
FBtr0299564	2628	2457.02	3.48897	71.707
FBtr0304628	2721	2550.02	60.2077	1284.25
FBtr0301470	4092	3921.02	0.009722	0.319
FBtr0308795	1251	1080.02	0.181492	1.64
FBtr0075157	661	490.35	0.731411	3
FBtr0333366	1074	903.017	0	0
FBtr0082097	2784	2613.02	2.7076	59.181
FBtr0070721	1868	1697.02	0.070447	1
FBtr0303104	3372	3201.02	0.079036	2.116
FBtr0100402	3384	3213.02	3.92659	105.531
FBtr0308855	6075	5904.02	7.32788	361.893
FBtr0080735	1934	1763.02	0.068281	1.007
FBtr0081340	628	457.367	97.4635	372.872
FBtr0078494	1842	1671.02	28.1855	393.967
FBtr0073260	3657	3486.02	0.051433	1.5
FBtr0333727	2908	2737.02	0.616344	14.111
FBtr0331308	1819	1648.02	0.921872	12.708
FBtr0071094	643	472.357	5524.39	21827.7
FBtr0072475	2696	2525.02	1.73131	36.567
FBtr0301259	939	768.24	0	0
