Name	Length	EffectiveLength	TPM	NumReads
FBtr0303313	423	223.213	0	0
FBgn0013687	4608	4407.57	0.07468	7
FBtr0445213	1085	884.567	6.27274	118
FBtr0304150	610	409.567	0.459241	4
FBtr0346750	640	439.567	0	0
FBtr0302916	1329	1128.57	0.041666	1
FBtr0077575	715	514.567	1.68571	18.447
FBtr0343565	391	192.4	5.36231	21.941
FBtr0307111	548	347.569	0.13529	1
FBtr0091871	526	325.574	0.007227	0.05
FBtr0340134	526	325.574	5.7053	39.502
FBtr0345518	731	530.567	0.261961	2.956
FBtr0346892	1975	1774.57	6392.47	241243
FBtr0345859	999	798.567	10.0454	170.597
FBtr0334478	392	193.346	0.855384	3.517
FBtr0346744	780	579.567	0	0
FBtr0347452	760	559.567	0.030582	0.364
FBtr0347446	582	381.567	0.125181	1.016
FBtr0084817	1248	1047.57	0.179549	4
FBtr0344334	427	227.128	8.10804	39.163
FBtr0306709	777	576.567	0.59616	7.31
FBtr0333937	1641	1440.57	3.34414	102.45
FBtr0347451	775	574.567	0.00074	0.009
FBtr0306722	1265	1064.57	35.7642	809.684
FBtr0088081	1226	1025.57	0.04585	1
FBtr0070932	471	270.667	1.04651	6.024
FBtr0301172	759	558.567	0.134891	1.602
FBtr0333553	829	628.567	0.344423	4.604
FBtr0329828	1288	1087.57	0.389128	9
FBtr0305348	1532	1331.57	0.263792	7.47
FBtr0114243	1041	840.567	0.962484	17.205
FBtr0112457	1130	929.567	0.08577	1.696
FBtr0307112	1182	981.567	34.9468	729.493
FBtr0347527	1290	1089.57	0	0
FBtr0336866	1058	857.567	2.40668	43.892
FBtr0347430	766	565.567	0.001217	0.015
FBtr0347098	1131	930.567	4.19408	83
FBtr0305617	1348	1147.57	20.9836	512.097
FBtr0347195	590	389.567	0.241409	2
FBtr0307582	220	70.53	0	0
FBtr0347444	414	214.447	0.52386	2.389
FBtr0302397	1494	1293.57	0.345102	9.494
FBtr0334740	1497	1296.57	111.059	3062.26
FBtr0070095	1861	1660.57	0.387832	13.696
FBtr0091606	534	333.572	0	0
FBtr0114241	789	588.567	0.004683	0.059
FBtr0075835	53	20.965	6.72877	3
FBtr0302913	394	195.24	19.6425	81.557
FBtr0305350	501	300.593	22.6722	144.933
FBtr0346749	659	458.567	0	0
FBtr0081172	421	221.26	0.001254	0.006
FBtr0346896	1258	1057.57	44.132	992.557
FBtr0347434	766	565.567	0.030292	0.364
FBtr0346897	123	39.106	975.463	811.245
FBtr0345338	1272	1071.57	1.04436	23.799
FBtr0345654	506	305.587	0.307752	2
FBtr0100604	1209	1008.57	0	0
FBtr0072914	1021	820.567	2.57872	45
FBtr0088762	456	255.754	0	0
FBtr0346872	1721	1520.57	8539.96	276157
FBtr0306724	802	601.567	0.325815	4.168
FBtr0306845	361	164.814	0.570612	2
FBtr0347036	330	138.442	0.000161	0
FBtr0113190	1074	873.567	0.645938	12
FBtr0334467	333	140.877	202.289	606.047
FBtr0333684	4305	4104.57	1.9516	170.354
FBtr0070923	1347	1146.57	0.451854	11.018
FBtr0339505	1709	1508.57	0.031327	1.005
FBtr0307583	352	156.898	0.000408	0.001
FBtr0347449	527	326.574	0.000725	0.005
FBtr0347433	775	574.567	0.00074	0.009
FBtr0347030	1916	1715.57	1.08404	39.55
FBtr0343809	881	680.567	22.9091	331.568
FBtr0302440	184	56.721	0	0
FBtr0303010	810	609.567	12.5168	162.26
FBtr0302346	1400	1199.57	6.71713	171.357
FBtr0302915	1307	1106.57	0.528285	12.432
FBtr0085895	825	624.567	89.0541	1182.84
FBtr0091815	333	140.877	29.3936	88.062
FBtr0339151	1366	1165.57	0.040343	1
FBtr0343422	638	437.567	0.107464	1
FBtr0310392	2132	1931.57	6.81638	280
FBtr0347424	274	98.553	4.8991	10.268
FBtr0309507	467	266.686	5.32038	30.174
FBtr0321274	675	474.567	0	0
FBtr0080132	1873	1672.57	0.014055	0.5
FBtr0078629	1897	1696.57	107.414	3875.48
FBtr0080936	774	573.567	222.699	2716.41
FBtr0073031	1144	943.567	9.78336	196.316
FBtr0337016	1111	910.567	5.86044	113.484
FBtr0073792	737	536.567	438.456	5003.15
FBtr0079085	4065	3864.57	0.571151	46.94
FBtr0088102	1945	1744.57	0.784688	29.112
FBtr0333529	9439	9238.57	0.009705	1.907
FBtr0300490	2762	2561.57	0.135329	7.372
FBtr0085634	1187	986.567	166.8	3499.6
FBtr0306588	1246	1045.57	0.277039	6.16
FBtr0306587	981	780.567	0.222793	3.698
FBtr0344763	1526	1325.57	1.11024	31.298
FBtr0074437	1875	1674.57	0.02808	1
FBtr0078061	2629	2428.57	38.3089	1978.53
FBtr0070859	1746	1545.57	11.282	370.824
FBtr0302875	494	293.603	0	0
FBtr0079860	5802	5601.57	0.037904	4.515
FBtr0332167	3281	3080.57	2.23054	146.129
FBtr0331397	2214	2013.57	7.05355	302.043
FBtr0342992	3849	3648.57	0.366783	28.459
FBtr0114460	3475	3274.57	0.573285	39.923
FBtr0331398	1855	1654.57	8.04661	283.134
FBtr0310465	1693	1492.57	7.55346	239.758
FBtr0080120	725	524.567	0.268922	3
FBtr0086579	3608	3407.57	23.1831	1680
FBtr0087153	1899	1698.57	0.022054	0.797
FBtr0082474	701	500.567	8.19609	87.249
FBtr0086810	838	637.567	0	0
FBtr0080281	1886	1685.57	0.118053	4.232
FBtr0086760	549	348.569	2.02352	15
FBtr0304008	3024	2823.57	17.8736	1073.26
FBtr0304636	531	330.573	0.142246	1
FBtr0336648	6435	6234.57	0.284922	37.777
FBtr0299564	2628	2427.57	8.55139	441.471
FBtr0304628	2721	2520.57	50.5505	2709.68
FBtr0301470	4092	3891.57	0.02094	1.733
FBtr0308795	1251	1050.57	0.275224	6.149
FBtr0075157	661	460.567	0.204194	2
FBtr0333366	1074	873.567	0.095232	1.769
FBtr0082097	2784	2583.57	2.12032	116.497
FBtr0070721	1868	1667.57	0.028198	1
FBtr0303104	3372	3171.57	0.336962	22.727
FBtr0100402	3384	3183.57	4.07954	276.197
FBtr0308855	6075	5874.57	7.55628	944.014
FBtr0080735	1934	1733.57	0.094927	3.5
FBtr0081340	628	427.567	134.857	1226.23
FBtr0078494	1842	1641.57	34.5981	1207.83
FBtr0073260	3657	3456.57	0.081557	5.995
FBtr0333727	2908	2707.57	0.260598	15.005
FBtr0331308	1819	1618.57	3.61176	124.321
FBtr0071094	643	442.567	3939.29	37075.8
FBtr0072475	2696	2495.57	1.15319	61.202
FBtr0301259	939	738.567	0.020961	0.329
FBtr0074174	2250	2049.57	1.52192	66.336
FBtr0339921	3148	2947.57	0.085282	5.346
FBtr0302643	3243	3042.57	1.2999	84.11
FBtr0075979	2691	2490.57	0.020912	1.108
FBtr0310147	2351	2150.57	1.05116	48.075
FBtr0301604	1722	1521.57	4.76519	154.193
FBtr0072335	1557	1356.57	0.034663	1
FBtr0345536	1248	1047.57	10.437	232.516
FBtr0083652	2845	2644.57	0.366838	20.631
FBtr0083649	2994	2793.57	0.142535	8.468
FBtr0333074	7272	7071.57	22.0934	3322.56
FBtr0347032	610	409.567	0	0
FBtr0087359	2273	2072.57	0.240533	10.602
FBtr0084095	7188	6987.57	1.30779	194.339
FBtr0346730	654	453.567	9e-06	0
FBtr0072993	2831	2630.57	9.75587	545.77
FBtr0079201	1290	1089.57	0.043157	1
FBtr0080039	3073	2872.57	0.148406	9.066
FBtr0343410	747	546.567	0.086033	1
FBtr0087779	2778	2577.57	0.018243	1
FBtr0081842	1524	1323.57	0.674959	18.998
FBtr0336968	2263	2062.57	0	0
FBtr0303158	610	409.567	5.39609	47
FBtr0071042	2573	2372.57	23.6281	1192.18
FBtr0074623	3850	3649.57	23.2008	1800.68
FBtr0302174	2966	2765.57	9.2e-05	0.005
FBtr0331645	4147	3946.57	0.082329	6.91
FBtr0100183	1753	1552.57	254.877	8415.4
FBtr0329980	5506	5305.57	0.077304	8.722
FBtr0307174	1972	1771.57	2.0633	77.734
FBtr0080808	2603	2402.57	0.078525	4.012
FBtr0345226	5811	5610.57	1.70461	203.388
FBtr0113480	3369	3168.57	0.023865	1.608
FBtr0088019	1186	985.567	2.41725	50.664
FBtr0300864	1867	1666.57	0	0
FBtr0081564	977	776.567	0.067227	1.11
FBtr0300887	2360	2159.57	4.88145	224.187
FBtr0086060	3043	2842.57	49.6481	3001.29
FBtr0339759	3208	3007.57	18.7717	1200.64
FBtr0345748	1595	1394.57	0.032425	0.962
FBtr0070647	2383	2182.57	0.193901	9
FBtr0330666	3896	3695.57	5.63941	443.21
FBtr0079809	3558	3357.57	17.128	1223
FBtr0079951	847	646.567	231.28	3180.14
FBtr0310567	2399	2198.57	0.008441	0.395
FBtr0329941	5970	5769.57	9.47295	1162.31
FBtr0088419	2966	2765.57	0.066952	3.938
FBtr0336467	3380	3179.57	0.611379	41.34
FBtr0343440	1961	1760.57	0.009143	0.342
FBtr0112654	2110	1909.57	0.047512	1.929
