Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.678	0.000000	0.000
FBtr0300738	2350	2172.165	0.182595	2.667
FBtr0300739	2172	1994.165	0.305574	4.098
FBtr0300737	2184	2006.165	0.215771	2.911
FBtr0300736	2338	2160.165	0.245780	3.571
FBtr0078628	2467	2289.165	0.256981	3.956
FBtr0300740	2479	2301.165	0.193470	2.994
FBtr0078627	2301	2123.165	0.317285	4.530
FBtr0300741	2313	2135.165	0.227905	3.273
FBtr0072762	889	711.448	61.066696	292.176
FBtr0346821	1270	1092.165	4.215559	30.963
FBtr0331460	900	722.447	2.117574	10.288
FBtr0303848	5005	4827.165	7.686802	249.536
FBtr0086122	1465	1287.165	0.462093	4.000
FBtr0335147	3125	2947.165	2.862720	56.739
FBtr0081459	3019	2841.165	21.774408	416.044
FBtr0305321	6523	6345.165	1.220679	52.088
FBtr0083716	5665	5487.165	21.189157	781.912
FBtr0078184	1305	1127.165	0.131922	1.000
FBtr0081691	765	587.542	0.000000	0.000
FBtr0085263	1228	1050.165	0.000000	0.000
FBtr0086342	492	314.693	0.000000	0.000
FBtr0086343	495	317.689	0.000000	0.000
FBtr0091847	1023	845.165	1.962147	11.152
FBtr0072393	1393	1215.165	81.764090	668.181
FBtr0343502	867	689.459	0.592162	2.746
FBtr0343753	3569	3391.165	3.165908	72.201
FBtr0433525	3725	3547.165	0.250011	5.964
FBtr0113895	961	783.416	14.494298	76.364
FBtr0345179	887	709.448	66.365767	316.636
FBtr0334135	4703	4525.165	0.327719	9.973
FBtr0334137	4561	4383.165	0.991072	29.214
FBtr0334141	5321	5143.165	0.225541	7.801
FBtr0334139	4203	4025.165	0.523816	14.179
FBtr0334140	5704	5526.165	0.202892	7.540
FBtr0344148	4894	4716.165	0.287229	9.110
FBtr0334142	5071	4893.165	0.257884	8.486
FBtr0334138	5563	5385.165	0.201259	7.289
FBtr0334136	3862	3684.165	1.154522	28.605
FBtr0085105	995	817.384	3.274541	18.000
FBtr0346720	2745	2567.165	0.000000	0.000
FBtr0076089	442	264.733	0.000000	0.000
FBtr0087500	1417	1239.165	12.359818	103.000
FBtr0073094	1694	1516.165	12.956449	132.108
FBtr0073093	1577	1399.165	82.352413	774.892
FBtr0343515	1092	914.165	0.889362	5.468
FBtr0072451	975	797.397	11.847437	63.532
FBtr0071607	2252	2074.165	2.724233	38.000
FBtr0081516	4704	4526.165	0.197117	6.000
FBtr0300749	931	753.439	2.660226	13.479
FBtr0346532	1185	1007.165	0.179959	1.219
FBtr0073076	880	702.452	75.211665	355.302
FBtr0089289	4677	4499.165	1.164445	35.233
FBtr0100448	4590	4412.165	2.707530	80.338
FBtr0089290	4681	4503.165	1.735415	52.555
FBtr0089288	4037	3859.165	12.976621	336.784
FBtr0100447	4417	4239.165	2.116944	60.351
FBtr0329933	4663	4485.165	1.838332	55.450
FBtr0336949	2826	2648.165	21.409857	381.289
FBtr0088786	1378	1200.165	80.390606	648.847
FBtr0088785	1869	1691.165	14.324097	162.911
FBtr0303077	607	429.629	0.000000	0.000
FBtr0339716	615	437.623	0.084288	0.248
FBtr0085459	600	422.630	66.410195	188.752
FBtr0070973	1218	1040.165	0.285912	2.000
FBtr0089252	2767	2589.165	3.018145	52.553
FBtr0334488	2840	2662.165	1.505519	26.954
FBtr0334489	2902	2724.165	1.927819	35.318
FBtr0100600	3804	3626.165	2.959695	72.176
FBtr0300305	309	131.846	0.000000	0.000
FBtr0077162	567	389.646	0.000000	0.000
FBtr0072277	713	535.563	56.640003	204.000
FBtr0344898	1082	904.165	0.000000	0.000
FBtr0086817	1175	997.165	0.000000	0.000
FBtr0333271	5146	4968.165	0.536109	17.912
FBtr0072639	5149	4971.165	0.554822	18.548
FBtr0340000	824	646.495	1.521543	6.615
FBtr0087390	427	249.747	286.612741	481.385
FBtr0070472	3021	2843.165	2.959746	56.592
FBtr0331752	4499	4321.165	26.895548	781.587
FBtr0070475	3174	2996.165	6.897461	138.980
FBtr0070474	3218	3040.165	1.067637	21.828
FBtr0302185	2166	1988.165	1.428830	19.104
FBtr0070471	4805	4627.165	11.846289	368.632
FBtr0112828	2903	2725.165	7.747999	141.997
FBtr0301966	3182	3004.165	1.233471	24.920
FBtr0070468	3055	2877.165	10.081691	195.072
FBtr0070476	2745	2567.165	0.706264	12.193
FBtr0070470	3110	2932.165	1.667197	32.875
FBtr0331751	4750	4572.165	0.855934	26.318
FBtr0070469	4244	4066.165	16.777217	458.776
FBtr0070467	2929	2751.165	0.453691	8.394
FBtr0331753	5004	4826.165	1.300748	42.217
FBtr0070466	2847	2669.165	2.602922	46.723
FBtr0070473	3091	2913.165	2.067163	40.498
FBtr0076265	1575	1397.165	55.555318	521.999
FBtr0331935	1030	852.165	0.196947	1.129
FBtr0088237	816	638.497	89.165672	382.871
FBtr0081705	1363	1185.165	0.000000	0.000
FBtr0088524	1299	1121.165	74.404175	561.000
FBtr0074540	843	665.481	23.454351	104.968
FBtr0074494	1357	1179.165	0.378312	3.000
FBtr0085714	3349	3171.165	130.884972	2791.288
FBtr0085713	3440	3262.165	1157.594991	25395.606
FBtr0076256	334	156.831	1.896278	2.000
FBtr0339552	1718	1540.165	11.723543	121.429
FBtr0078950	1533	1355.165	30.566648	278.571
FBtr0070990	1321	1143.165	1.189683	9.146
FBtr0100409	805	627.512	0.748523	3.159
